airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,average_daily_rate,img_cover,reviews,longitude,latitude,days_available,room_type,url,active_listing,city,listing_date,description
41400463.0,9.3,Apartment,1.0,Kasa | Dallas | Classy 1BD/1BA Apartment Near SMU,1,4.0,102.0,https://a0.muscache.com/im/pictures/bdcb1742-fcb5-4402-8a78-26b9bcd9864b.jpg?aki_policy=x_large,8.0,-96.77051,32.84166,287.0,Entire home/apt,https://www.airbnb.com/rooms/41400463,1.0,Dallas,,
23380849.0,9.7,House,1.0,Walkable + Bright Retreat near Bishop Arts + DTown,2,6.0,89.0,https://a0.muscache.com/im/pictures/48b496cc-99a5-427e-92a2-d55ac0bcd195.jpg?aki_policy=x_large,97.0,-96.84823,32.74828,300.0,Entire home/apt,https://www.airbnb.com/rooms/23380849,1.0,Dallas,,
17177697.0,10.0,Apartment,1.0,⭐️⭐️ AMAZING PRICE West-Village Walk Anywhere ⭐️⭐️,1,3.0,129.0,https://a0.muscache.com/im/pictures/miso/Hosting-17177697/original/f27c5065-283b-4506-84a8-c07b4288b186.jpeg?aki_policy=x_large,5.0,-96.796,32.809,141.0,Entire home/apt,https://www.airbnb.com/rooms/17177697,1.0,Dallas,,
45970285.0,,Apartment,1.0,Neat 1 BD/ 1 BA 10 MIN FROM UPTOWN & DEEP ELLUM,1,3.0,150.0,https://a0.muscache.com/im/pictures/miso/Hosting-45970285/original/e5d771bf-c1fd-476b-ae8d-250021e872fa.png?aki_policy=x_large,0.0,-96.77345,32.80468,31.0,Entire home/apt,https://www.airbnb.com/rooms/45970285,1.0,Dallas,,
41397055.0,10.0,Townhouse,7.0,Modern Biz-Friendly Duplex mins to DT/Greenville!,8,16.0,742.0,https://a0.muscache.com/im/pictures/d64d9264-9009-4747-a5a6-b39553da8e47.jpg?aki_policy=x_large,2.0,-96.77928,32.80725,305.0,Entire home/apt,https://www.airbnb.com/rooms/41397055,1.0,Dallas,,
40650819.0,7.2,Apartment,2.0,Spacious Corporate 2Bedroom Apt Dallas/Parking,2,7.0,133.0,https://a0.muscache.com/im/pictures/15335b8c-389d-4459-8b79-8b2232150458.jpg?aki_policy=x_large,5.0,-96.79513,32.77802,295.0,Entire home/apt,https://www.airbnb.com/rooms/40650819,1.0,Dallas,,
1004112069.0,0.0,apartment,1.0,Sonder | Butler Brothers | Lively 1BR + Pool,1,4.0,96.0,https://odis.homeaway.com/odis/listing/1eaeffe6-1e4b-487c-b979-6067d8e4d0d8.c10.jpg,0.0,-96.7959561,32.7776906,155.0,Entire home/apt,https://www.airbnb.com/rooms/1004112069,1.0,Dallas,,
44359340.0,,Apartment,1.0,1 Bedroom|Queen & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,1,4.0,125.0,https://a0.muscache.com/im/pictures/0b0ba6d5-342b-466d-9372-2da9daf7a475.jpg?aki_policy=x_large,0.0,-96.79586,32.77911,73.0,Entire home/apt,https://www.airbnb.com/rooms/44359340,1.0,Dallas,,
41297068.0,10.0,House,1.0,Charming home in Uptown! Walk to everything!,1,2.0,91.0,https://a0.muscache.com/im/pictures/1046ebea-4999-454d-b942-5c6bc28cf3cb.jpg?aki_policy=x_large,12.0,-96.79987,32.79779,198.0,Entire home/apt,https://www.airbnb.com/rooms/41297068,1.0,Dallas,,
20499464.0,9.6,Apartment,1.0,DOWNTOWN DALLAS|RESORT STYLE CONDO W/ROOFTOP POOL,1,2.0,115.0,https://a0.muscache.com/im/pictures/ea7df2ba-f366-483c-9b95-2b3fb3392baf.jpg?aki_policy=x_large,185.0,-96.79967,32.78247,29.0,Entire home/apt,https://www.airbnb.com/rooms/20499464,1.0,Dallas,,
