airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
31058648,9.5,196,1.0,"Gym, pool, tennis court, 200 tv channels, internet",1,1,https://a0.muscache.com/im/pictures/29ef529e-3755-46e5-88f9-7c178fc63983.jpg?aki_policy=x_large,12,-97.00785,32.76351,48.0328,Apartment,Private room,https://www.airbnb.com/rooms/31058648,1,Grand Prairie
35379401,9.7,313,2.5,Comfortable stay for any size group or family,5,15,https://a0.muscache.com/im/pictures/cdf7a4eb-c46a-496f-95db-b073f484756a.jpg?aki_policy=x_large,24,-97.03448,32.69027,203.728,House,Entire home/apt,https://www.airbnb.com/rooms/35379401,1,Grand Prairie
1004272405,10.0,184,2.0,"""DENMARK"" * POOL * FIRE-PIT * GAME ROOM *",3,9,https://media.vrbo.com/lodging/52000000/51930000/51926200/51926174/36f0a4a0.c10.jpg,1,-97.02788008,32.75365624,437.806,House,Entire home/apt,https://www.airbnb.com/rooms/1004272405,1,Grand Prairie
40286331,,75,1.5,Beautiful Private Room /Grand Prairie/ Only Female,1,2,https://a0.muscache.com/im/pictures/c116e066-6872-4146-a7bc-ce9bf4268b4c.jpg?aki_policy=x_large,0,-97.02282,32.64443,20.2333,House,Private room,https://www.airbnb.com/rooms/40286331,1,Grand Prairie
26162613,9.8,116,2.0,Home away from home!,3,5,https://a0.muscache.com/im/pictures/f6665c3b-5bdf-41bd-aa84-d4d867598d88.jpg?aki_policy=x_large,9,-97.03548,32.68595,243.478,House,Entire home/apt,https://www.airbnb.com/rooms/26162613,1,Grand Prairie
42658098,,180,1.0,Grand Prairie Home with a View,1,2,https://a0.muscache.com/im/pictures/a0165074-87c6-4b21-bbea-b8e18f83f09e.jpg?aki_policy=x_large,0,-97.01176,32.66844,53.6154,House,Private room,https://www.airbnb.com/rooms/42658098,1,Grand Prairie
40927903,8.9,272,1.0,ROMANTIC 1 BR KING BED CLOSE BY RESTAURANTS & More,1,5,https://a0.muscache.com/im/pictures/9d811f65-c7e5-4bdf-8a23-ad26a970b1b9.jpg?aki_policy=x_large,14,-97.02854,32.68401,120.512,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/40927903,1,Grand Prairie
32897835,9.1,256,1.5,Your Home Away From Home,3,6,https://a0.muscache.com/im/pictures/5f52afbd-a144-45e4-905d-e188cf470432.jpg?aki_policy=x_large,27,-96.99806,32.70776,140.557,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/32897835,1,Grand Prairie
33686644,9.5,327,1.0,"1 Private room in quiet neighborhood, comfortable",1,2,https://a0.muscache.com/im/pictures/ce85e334-4d25-42d4-900a-bc850e8ad3ed.jpg?aki_policy=x_large,31,-97.03486,32.65551,54.0868,House,Private room,https://www.airbnb.com/rooms/33686644,1,Grand Prairie
37459972,9.3,275,2.0,"C07. Lowest Cost Private Room, Single guest only !",1,1,https://a0.muscache.com/im/pictures/99a25d21-69fb-4c53-9f2d-b9568b3e6470.jpg?aki_policy=x_large,3,-97.02784,32.67921,28.6452,House,Private room,https://www.airbnb.com/rooms/37459972,1,Grand Prairie
37181179,9.8,13,1.5,Weekend getaway by DFW Airport and Cowboys Stadium,1,2,https://a0.muscache.com/im/pictures/7ed030e6-bbdd-4304-badb-b6d1aba8074b.jpg?aki_policy=x_large,11,-97.05745,32.80087,56.3333,Apartment,Private room,https://www.airbnb.com/rooms/37181179,1,Grand Prairie
35169227,10.0,194,1.0,"private Bath ""NYC"" Room in our Georgeous Home!!!",1,1,https://a0.muscache.com/im/pictures/cb45def6-93d5-4ad3-85f3-d2108c824bb7.jpg?aki_policy=x_large,4,-97.04699,32.58836,44.1534,House,Private room,https://www.airbnb.com/rooms/35169227,1,Grand Prairie
